Sentimen;Text
Positif;  IISMA tuh program kampus merdeka kan yah itu kita di biayain kuliahnya  dapat uang transporbiaya hidup juga gak Atau sistem IISMA tuh gimana yah thx ya 
Positif; 2ndliliput collegemenfess Ikut magang nder lumayan biat nambah pengalaman juga Aku magang dari semester 5 awal2 ikut unpaid mbkm
Positif; akhirnya merasakan temen2 gue pada lolos pmm kampus merdeka guenya kaga wkwk
Negatif; annoying collegemenfess sumpah mending ganti mntri aja kurikulum bljr di acak2 mbkm lah ini apaan anjir marketplace guru
Positif;" codingfess code Serbaserbi MAGANG di program MSIB MBKM 
Ceritain pengalaman kalian yang pernah ikutan magang di program ini guys"
Positif; collegemenfess cm ada yang ikut magang kampus merdeka batch 5 gak 
Negatif; ditiktok lewat mulu magang merdeka tp kampus gw bukan termasuk kalpus merdeka ajg sebel bgt dh gw
Negatif;" giginpraginant3 Merdeka apanya Dosennya pada takut ngomong dan mahasiswanya takut menjadi aktivis"
Positif; girlsbeyondid Kalau kalian ngincer company kayak Lazada Telkom bahkan Grab lewat program magang MBKM penting banget buat siapsiap
Positif; hi ada yang pernah bikin sptjm MBKM pakai emeterai itu kalau diprint tetap valid engga makasih sebelumnya
Negatif; ini kalau ngasih pengaduan gitu kesiapa ya please tolong banget dipercepat kkn nya soalnya pengen ikut magang merdeka mulainya awal agustus takut bentrok sama kkn kesiapa ya kasih pengaduan ke rektorat gitu bisa g sihsoalnya kesempatan terakhir ikut mbkm
Positif; kalian yg ikut program kampus merdeka matkul metode penelitian bisa dikonversi ga
Negatif; KampusMerdeka Gubernurnya perlu ditanya dan  bertanggung jawabkah
Negatif; Llghtspphr collegemenfess Padahal terakhir cek SMT 6 sampe 7 nggak ada ikut MBKM eh barusan cek ternyata 
Negatif;" MagangStudi Tolong Kami Bantu Viralkan Supaya Cepat Diurus. Kami Mahasiswa Magang Kampus Merdeka sudah kerja hampir 45 bulan tapi"
Negatif; mau tanya yang kemarin udah magang merdeka IPK itu berpengaruh ke di terima awalan ke perusahaan yg kita pilih gak sebelum ke tahap selanjutnya 328 emang mungkin ya dapat magang di kampus merdeka Aku down banget
Negatif;" MBKM dah mau abis. Skripsi gjls Lamaran gk diterima². Pelatihan gk kelar² karena main dua kaki. Beasiswa dah abis. Mimpi S2 dgn beasiswa semakin sulit. Yaaa bagaimanapun jg yg bisa dipercaya cm diri sendiri. Nangis Ya kalau bisa pengen teriak dipeluk Idk who"
Positif; nisatrize AsahPolaPikir Ngapain gaji 1 jt kalo bisa dapet intern via kampus merdeka
Positif; Racunsanasini1 tanyakanrl Lolos pmm  mbkm  beasiswa wkwk
Negatif; RamliRizal Slogan slogan Nadiem Kampus Merdeka  bagaimana kampus bisa merdeka wong dosen2nya tidak merdeka secara akademik
Negatif;" seokjinjuseyyo  Aksa  Dara zaman belum merdeka dari jajahan matkul dan aktivitas kampus "
Positif; SevensRoad77 Mbahwo999 Miduk17 Nadim nggak beres gmn Kampus merdeka sama kurrikulum merdekanya bagus kok
Positif; yg pernah ikut atau lagi ikut magang kampus merdeka boleh tau tahap seleksinya apa aja
Positif;"1. Lolos Sbmptn Utbk di Univ Impian. 2. Lolos Pertukaran Mahasiswa ke Medan. 3. Semester 2 udah ikut program kampus merdeka. 4. Ikut Program Kemenpora by Duta Inspirasi Indonesia di Gedung Pemuda Kemenpora. 5. Juara Lomba Nasional Mahasiswa 2023 terhitung semenjak semest 1  "
Negatif;11fess Apa bener kalo instansi udah acc tapi kita ga jadi MBKM nanti ga bisa KRS Reguler Titipan
Negatif;"11Fess disuruh ikut MBKM tapi pas ngurus SPTJM luamaaaa bgt udah 1 minggu gak terbit. Now playing Aruma  Muak"
Positif;11fess kalian ikut kampus merdeka ga tolong kasih saran dong enaknya ikut apa engga sama kasih tau dong plus minusnya thankkssssss
Positif;17Autopia Kalo sekiranya kita ngga ambil atau engga klik konfirmasi next nya masih bisa ikut mbkm lg ngga ya
Positif;18kitsch Bagus dik jangan mau dijadikan babu Lebih baik ikut kampus merdeka kalau buat intern Jelas pula perusahaannya
Negatif;2 Misscom kampus dan pihak MBKM menyebabkan mahasiswa tidak bisa konversi nilai sehingga dari aku sendiri mendapatkan 36 sks Pada saat itu kadang nyalain laptop hp sama pinjem hp yang artinya 3 kelas secara bersamaan dengan kampus yang berbeda
Negatif;205bestie Ini sih penyesalan terbesar gw soalnya waktu itu gw udh keburu cape jd ga sempet daftar kampus merdeka
Positif;4 tahun kuliah jdi sarjana mbkm
Positif;408folder magang juga tapi program kampus merdeka bukan matkul kampus
Positif;"911jakey 50k yukk udh sering buat magang apply ln kampus merdeka dll WA "
Positif;abis daftar MBKM hehehe semoga lolos aamiinnnn 
Negatif;abis kepanitiaan dan mbkm ini gua mau musnah
Negatif;abis ngobrol dikit sm yg udh smester 6 tentang magang merdeka ktnya dia gagal di interview krn gapunya pengalaman organisasi di kampus tpi dia di luar kampus aktif ky ikut volunteer gtu emangnya pengalaman organisasi di kampus se pengaruh itu ya buat daftar magang 
Positif;Ada ga sih yg ngeshare cv nya lolos magang kampus merdeka pengen liat
Positif;Ada satu kampus gede yg pny program inkubasi startup Nah lalu dikawinkan dgn program merdeka belajar  
Positif;ada yang pernah ikut kampus merdeka mengajar dan bersedia buat aku dm tanya tanya seputar kegiatannya ngga terima kasih  cm
Positif;ada yang pernah ikut studi independen kampus merdeka mau nanya2 dong guys
Negatif;Ada yang tau gak weyyy ini kok gk bisa klik apa2 lagii yaa  btw ini akun kampus merdeka 
Negatif;Ada yg sama ga minder sama orang² yg lolos program kampus merdeka
Negatif;Aduh aku hari ini campur aduk banget ya Udah galo ditinggal bigbang galo gegabah potong rambut galo ternyata besok libur panjang galo mikirin surat mbkm galo lampu kamar mandi belom ganti mana udah gitu ada galo kebelet berak tapi takut gelap pula
Negatif;aduh mbkm dah buka tp perusahaan yg gue mau ga ada
Negatif;AELAH W MSIH MBKM LG BULAN SEGITU 
Negatif;Agak e jadi sedikit penyesalan lapoo kok ga ket awal mbkm ae yo aku ngekos nang panggon kosku sing saiki
Positif;Agak fomo dikit mau tedx kampus merdeka
Negatif;agak nyesel milih magang MBKM di semester 6 ini huhu
Negatif;AHH LUPA SURVEI KAMPUS MERDEKA ANYINGGG
Negatif;ainalev worksfess kampus merdeka cuma bisa buat S1 ya kak
Positif;airlanggafess Insha allah bisa nder aku kemarin IPK 361 nilai C nya ada dua alhamdulillah dapat cumlaude saranku lebih baik kamu coba ikut lomba dari unairluar unair siapa tau juara atau ikut program kampus merdeka kan banyak tuh yg bisa dicoba
Positif;Akakasaks see u di s2 atau kampus merdeka kalo ada
Negatif;akan selamanya sensi sm pemerintah soal kampus merdeka UU PLP dan jg covid
Negatif;akbawr Ogah jan mending lulus cepet Ini gua grgr mbkm jd mundur wkwkwk
Positif;Akhirnya beres juga mbkm
Negatif;aku juga wkwk padahal sem 7 kemaren ga ikut mbkm sama sekali tapi datanya malah masuk ke mbkm terus di website kampus juga aku terdaftar kkn yang mbkm padahal aku ikut kkn reguler apa karna namaku dimasukin ke proposal kkn yang mbkm kemaren yaa makanya jadi gini 
Negatif;aku lebih memilih ikut gigih karena bisa untuk public fresgrad final year and lulusan vocational stud ga terikat MBKM ga terikat birokrasi kampus yang menyebalkan 
Negatif;Alah udah susah susah belajar SQL pas di CV buat MBKM malah lupa masukin
Positif;alias selesai mbkm
Positif;almondnetta mbkm si soalnya kek magang gtu
Negatif;alur mbkm kok kaya susah ya aku jadi ciut bgt 
Positif;AmanillahH Kalo ga bisa cari aja talent kampus merdeka tuh banyak yg bagus eks intern startup digital wkwkw
Positif;AmirahWahdi Di beberapa kampus setahu saya ada yg menyediakan mata kuliah Critical Thinking Kalau diintergasikan dengan mata kuliah Teknik Penulisan Karya Ilmiah atau bahkan Bahasa Indonesia MKWU pakai MBKM style Projectbased Learning kayaknya sih maknyus ini 
Positif;and the end gua memilih utk ga ikut dlu mbkm semester ini krna w msih dibanjiri proker organisasi w yg membludak dann sangatt besar smoga semester depan w dftr dan w keterima AMIN
Positif;andihiyat Thanks to kampus merdeka
Negatif;angkatan 20 ke bawah lulus modal intern di consulting firm berkat mbkm angkatan 18 ke atas lulus cuma modal hima doang mana gak achieve samsek yaudah pasrah kalau kegeser
Positif;Anjer pas w cek ternyata status w jg ada yg ikut kampus merdeka 
Negatif;anjir ini mbkm kayak sbm ke dua
Negatif;"anjir tugas akhir bergengsi semua riset di dalem prodi namanya masuk publikasi jurnal  dpt topik sesuai minat tugas akhir magang jadi rnd dpt link  diitung mbkm bingung asli
pengen ambil semua tapi gabisa asli maruk bet"
Negatif;another pusing dgn mbkm
Positif;Anugerah ini masingmasing dalam subkategori perguruan tinggi peduli disabilitas dan perguruan tinggi akademik penyelenggara program MBKM Mandiri 
Negatif;Apa kabar laporan mbkm Makalah seminar Ppt seminar 
Positif;apa tiap semester mbkm aja ya anjir ga pake mikir dan nangis nilainya langsung bagus 
Negatif;apaajadehh111 Hai Diah Selama mengikuti proses pelaksanaan program Kampus Merdeka BI KMBI berdasarkan ketentuan dari Kementerian Pendidikan Kebudayaan Riset dan Teknologi bahwa peserta yang mengikuti program KMBI tidak diperkenankan melakukan kuliah lain 1
Positif;apanih dosen ko tb bahas mbkm 
Negatif;apasi ini anak2 mbkm pada pamer uang dengan ss brimonya first time babyy uhhh
Negatif;Arek arek sng balek teko MBKM iki kok ngesroh ngene se modele wong sng salah materi kunu kok aku sng dikongkon nggolek materi maneh
Negatif;armandhani Ya Allaah Exactly my struggle for the past 5 months with my interns from Kampus Merdeka Kemendikbud program  lack of initiative very weak skill of communication and the attitude I have so much to say abt their attitude 
Positif;askihuy convomf halooo dulu aku sama temen aku langsung kirim proposal magang sama cv ke humas ANRI tapi gatau sekarang sistemnya kaya gimana Kalau ga salah sekarang harus ikut sama kampus merdeka
Negatif;Asli banget ini mah wahai bapakibu panitia MSIB dan MBKM saya beneran tinggal punya uang 10rb  Masa iya saya berangkat ke kantor tempat magang harus jalan kaki  Tolong kejelasan pencairan bbh MSIB batch 4 nya  nadiemmakarim KemdikbudRI ItjenKemdikbud ditjendikti
Positif;asteroits lu kknnya ada mbkm ga
Positif;awbiyyu awcitrun ya itu yu abis ujian ato abis ak bikin laporan MBKM tanggal 10 keatas
Negatif;awokwokwok w masih dendam sama mbkm 
Positif;azeridra Iya brow lebih asik laporan mbkm karena datanya uda ada jadi ketak ketiknya mudah wkwk
Negatif;B0BBYTEA Eh tapi iya anjir gue baru tau kampus merdeka jg diingetin ayang kalo enggak ya mampus aja gue Kadang kampus anggap mahasiswa udh tau duluan juga jadinya gitu 
Negatif;bagusadisatya Aamiin kak Beberapa yg bagus dan dewasa tp I can say 80 dr anak2 MBKM di kantorku ini attitudenya krg banget Tp aku yakin masih ada yg punya good attitude diluar sanaa
Negatif;bajoeeee collegemenfess jadi semakin banyak mhs ikut kampus merdeka akreditasinya makin bagus atau nurun soalnya kampusku yg smt 7 mau ikutan lagi malah dilarang karna mau fokus memperbaiki akreditasi
Positif;bajoeeee xyzgrl collegemenfess berarti wajib ikut mbkm
Negatif;bangkittt plsss adaiin kegiatan tapi jangan mbkm dongggg plss plss plssss
Negatif;Bangun tidur udah langsung di konseling sama pihak kampus merdeka wkwk
Negatif;bankindonesia Halo min magang kampus merdeka yg bulan agustus itu kan katanya wfhwfohybrid kalau waktunya itu bertabrakan dengan kuliah reguler gimana ya solusinya apa bisa wfh saja
Positif;banyak banget yg harus diselesaiin hari ini screening lpj tugas kantor tugas mbkm rancang rancang kyaattt yuwhuu zemangtttzzz
Positif;Baru mau daftar akun kampus merdeka boleh pake email dari kampus gak ya Atau harus email pribadi imissu
Negatif;baru tau bngt kl ada data palsu kaya gini trs gua yg ikut mbkm beneran kek DIHHHHHHHHHHHHHHHHHHH 
Negatif;"basanukleotida hrdbacot Aku anak magang kampus merdeka gaji 28 pas nyari magang lain yg gajinya sejutaan langsung skip
Karna dari awal udh dpt ekpetasi gaji setinggi itu jd magang digaji sejutaan ya ogah"
Positif;bbabidi utfess terimakasih untuk syarat ada di web kampus merdekanya kak tp khusus ut minimal ikut MBKM itu semester 5 proses minta sptjm nya juga cpt kalo FE kalau fakultas lain kurg tau ceper atau engga
Negatif;BBH MSIB kapan cair sih Ini udah bulan ke4 dan BBH termin 1 BELOM TURUN SAMA SEKALI Dimohon untuk MEMBERIKAN kepastian nadiemmakarim ditjendikti Berikan HAK KAMI sebagai peserta Kampus Merdeka Batch 4
Negatif;bbh termin 2 msib kampus merdeka udah ada yang cair lah aku termin 1 aja belum cair sama sekali 
Positif;being a part of Kampus Merdeka i think its cool 
Negatif;belom dipusingin sama mbkm dan topik skripsi 
Positif;belom siap daftar mbkm karena ada yang salah di sptjm ternyata diperpanjang ampe 30 Juni  semoga batch 5 ini jadi rezeki saya Ya Allah
Positif;"Berasa war is over. Masyaallah tabarakallah. Mulai dr bingung mbkm sambil bimbingan trs abis sempro buru2 mo nonton dream di jkt  after nonton lgsg gas lagi abis semhas jg 2 hari lari2 revisian  huhuhu makasiii banyak buat nct dream yg bener2 udh ngasih support  "
Positif;bergabung di program magang kampus merdeka   
Positif;bersyukur banget batch 4 kemarin ketolak jalur kampus merdeka dan keterima jalur mandiri di bangkit Alhasil masih punya jatah dua kali buat ikut kampus merdeka  emang ga ada yang kebetulan keknya ya 
Positif;beruntung bgt Maba yg bisa ambil mbkm
Negatif;beruntung1 upiinunyu tanyakanrl murid smp emang gajentot semua pertanyaanya apa lagi murid sd dulu pernah mbkm kampus mengajar sering di chat random sama anak murid
Negatif;bikin mini skripsi seminggu dikira kita pada miara jin bondowoso kali fortunately gue kabur mbkm 
Negatif;bimgung mmpus smster depan mbkm lagi apa skripsian
Negatif;bingung bangett daftar mbkm lagi ga yaaa
Negatif;"bingung bgt pgn ikutan magang kampus merdeka lg tp semester depan hrs buat proposal akhir the problem is  bikin proposalnya kelompok berdua2 tp takut keganggu kl sambil magang huft"
Negatif;bingung mau pilih mbkm apa kuliah biasa 
Negatif;Bingung pengen ikut magang MBKM tpi posisi yang ada cuman di pulau Jawa aja
Negatif;bisa2nya mbkm yg aku pilih ujian semua
Positif;Bismillah semoga lolos magang kampus merdeka 
Positif;Bismillah ya Allah aku ingin kembali quote tweet ini saat aku diterima magang msib kampus merdeka di Jakarta nanti Allahumma sholli alaa sayyidina Muhammad  wa alaa ali muhammad
Positif;bismillah ya moga bisa ikut  mbkm dan magang di sby
Negatif;Boleh minta hug nya  Masih bingung sama sedih gara2 gatau mau ngapain lagi kalo ga dibolehin ikut mbkm 
Positif;braw mau tanya di FH kalau udah ikut mbkm apakah harus pkm magangkkn lagi kah
Positif;braw Setelah MBKM tuh laporan akhirnya apakah harus ada presentasi seperti seminar skripsi gitu Yang pernah ataupun ngerti mohon petunjuknya TIA ^^
Negatif;Braw Udah mau semester 7 tapi kenapa ya kek masih iri banget lihat temen di LinkedIn pengalamannya banyak banget sedangkan aku baru 2x ikut Program MBKM dan ga ada magang termasuk telat ga sih mau produktif di semester 7baru mau magang gitu
Negatif;bulan lalu gw nangis krn ga bisa daftar iisma 2 minggu yg lalu gw nangis krn ga bisa daftar mbkm LN dr fakultas gw sendiri krn info yg simpang siur skrg gw keterima ngajar di malay beneran dah rezeki ga kemana  
Negatif;buset ini awardee kampus merdeka emg bolehin program ini dijadiin ladang duit ye
Negatif;Buset ni mbkm dh mau batch 5 aja padahal bbh batch 4 belom turun heheheheh
Positif;bwocyl collegemenfess MBKM kan banyak programnya Ya ikutnya bedabeda lah
Negatif;bwocyl collegemenfess Ohhh udah beda aturan berarti yah Soalnya aku ikut sejak KM angakatan terus MSIB dua kali angkatan 1 dan 2 itu aturannya masih boleh ngikut kegiatan MBKM lain walopun sebelumnya sudah ikut Kalo MSIB waktu itu bisa dua kali ikut
Negatif;bye mbkm
Negatif;Cape cape bikin laporan mbkm yang full data dari kandang lengkap plus ikutin semua kegiatan biar datanya ga ilang ehh ternyata laporannya cuma gitu aja
Negatif;capek banget baru balik kuliah tidur set jam lanjut kerja superduper rame dan hari minggu bakal berangkat lagi untuk mbkm  perut 3harian ini sakit bgt gabisa nahan sampe nangis Masih aja dibuat kesel
Negatif;"Capek banget jadi tulang punggung kelompok Ternyata semester 6 gue bener bener di uji buat jadi tulang punggung kelompok. Bukan 2 atau 3 kelompok kek dulu. Ini 9 kelompok coyy gue tulang punggungnya. Yaallah kalau ini adalah salah satu ujian menuju mbkm magang Hammba ridho"
Negatif;capekhidup1 collegemenfess gapernahh di semester 7 juga cuma kkn aja masa itu kehitung kampus merdeka juga sih
Negatif;cara ganti tempat kelahiran di web kampus merdeka gimana ya ko gabisa diteken
Positif;caratstalk Dri kampus merdeka Lanjut ampe nonton konser bareng wkwkwkwk
Negatif;caratstalk mahasiswa dikejar mbkm kkn dan skripsi yang bersiap menjadi sandwich gen saat amin dapat kerja nanti
Negatif;caratstalk Mahasiswa magang yg lagi nangis mulu mikirin luaran mbkm nya sehingga butuh bersandar di dada jeon wonwoo
Positif;cartekertwo worksfess kata siapa nder kalo ptsnya modelan binus ya pasti dapet kerjaa org program kampus merdeka aja terinspirasi dr binus yang kampus swasta kok buat akt 24 nih aku may nawarin beasiswa sampai 100 hingga 4 tahun gratis berkuliah di binuss limited yaa 
Positif;centeallaa sbmptnfess Nggak tau ngaruh apa nggak tapi latbelnya dia kan dari startup yg semuanya harus satset jadi ya begitu Kampus merdeka juga satset kan
Negatif;cfopper kagaak dah kata prodiku aku semester aku gabisa kampus merdeka lagi jadi magang nyari sendiri  kamu masih kebagian kah kampus merdeka
Negatif;checkoves mbkm magang yaa atau apah
Positif;chesarawrr UPIfess km prodi apa setauku kkn masi matkul wajib sih utk rekognisi itu buat yg konversi msibmbkm krna nnti didalemnya ada upload terkait hal2 msibmbkm mungkin bisa dikonsul ke prodi yaa
Negatif;choconuttzzy slamfuckman collegemenfess studi indipendennya aja awikawok bgt pengalamanku Bingung mau mbkm lagi apa ga 
Positif;chuu97 UPIfess mjb skripsi bisa nyambi mbkm kak
Positif;"CJessination48 CJessiJKT48 Ada logo kampus merdeka dong Wahh jadi minat sama program MSIB khas ITJC ada apa aja ya"
Negatif;clairdelunesoir Ini kurikulum kampus merdeka yaa Klo iya pantes ak ga ngalamin karna KM berlaku pas aku lulus
Negatif;cm ada program kampus merdeka tapi mahasiswa gak dimerdekakan untuk memilih metode kuliah di luar kampus sama fakultas ya sama aja wkwkwk bisa dilaporin ke kemendikbud gak sih fakultas yang membatasi mahasiswanya gini
Negatif;cm ada yang bisa jelasin kampus merdeka itu nantinya gimana sih masih bingung soalnya
Positif;cm ada yang ikut magang kampus merdeka batch 5 gak Kalau ada yuk mutualan 
Positif;Cm Ada yang tahu nggak program kampus Merdeka yang bisa konversi beberapa SKS aja dan bisa sekalian magang dan kuliah reguler soalnya liat kating akt taun lalu pada bisa konversi beberapa sks gini udh nanya katingnya responnya tidak memuaskan  
Positif;cm ada yg perna kkn lewat program kampus merdeka atau ada rencana mau ambil spill dong   nya kalian yg gamau ambil KM buat kkn juga spill kenapa gamauthanks
Positif;cm ada yg pernah buat akun kampus merdeka kalau datanya di kampus merdeka peserta didik baru itu ngaruh ga ya ke nantinya mau daftar magang merdeka atau studi independen
Negatif;cm ada yg pernah ditolak mengajar bersama kampus merdeka ngga kalo ada kira kora kenapa yaa
Negatif;cm aku baru daftar magang kampus merdeka ini setelah pemeriksaan dokumen yg di upload gimana cara keluar nya yaaa  kok gada exit nyaa  
Negatif;cm aku bingung msib udah buka pendaftaran belom ya katanya udah dari tanggal 26 april sampe 7 juni kok di web kampus merdeka nya belom ya tolong bantu jelasin dong teman temannn
Positif;cm aku ikut kampus merdeka dan karena masalah administrasi jadi lulus 425 tahun apakah masih memungkinkan untuk cari beasiswa S2 luar negeri aku background IT ada medali internasional experience intern di multinational company dan menang beberapa lomba thanks yang cont
Positif;cm aku mau ikutt magang program mbkm sem depan trs ada kolom portofolio kalo anak akutansi gitu portofolionya isinya apa ya makasii
