Sentimen;full_text
negatif;kampus merdeka fee kemendikbud ngerasa nama daftar serta fee nya mana
negatif;kampus merdeka maksimal cuma kali iya sender iseng cek pddikti terang situ sender kali program kampus merdeka asli rencana sender daftar
negatif;prodi semester tidak bisa kampus merdeka magang cari bagi kah kampus merdeka
negatif;kampus merdeka maksud kampus bebas merdeka tentu ukt mahasiswa orang tua mahasiswa iya merdeka mana fungsi negara aparatus negara
negatif;buset kampus merdeka bolehin program dijadiin ladang uang ye
negatif;rocky kampus merdeka rektor rantai
negatif;pagi cek semester isi kampus merdeka program kampus merdeka data palsuin kah
negatif;kampus merdeka log realita nya kampus nya rantai
negatif;iya semester tulis kampus merdeka semester
negatif;nderr gapernah kampus merdeka samsekk
negatif;dih barusan ngecek kampus merdeka semester cantum direktoral jendral didik tinggi
negatif;kampus merdeka tulis aktif
negatif;semester kemarin kampus merdeka
negatif;barusan cek punya status aktif smt kampus merdeka
negatif;balik kampus merdeka status aktif
negatif;balik kampus merdeka smt status aktif teman kampus merdeka smt iya status kampus merdeka
negatif;balik nder smt kampus merdeka tulis aktif
negatif;balik kampus merdeka pddikti cantum
negatif;kampus merdeka kali semester semester pddikti semester
negatif;mahasiswa kampus merdeka akreditasi bagus nurun kampus smt ikut larang fokus baik akreditasi
negatif;ditiktok melulu magang merdeka kampus kampus merdeka sebel banget
negatif;yaa uin masuk kampus merdeka
negatif;uin ikut magang kampus merdeka iya
negatif;rekomendasi usaha open nagang surabaya cek web kampus merdeka lokasi jakarta iya hmm
negatif;lelah mbkm merdeka merdeka banget kampus
negatif;kampus merdeka pilih rektor merdeka penak turu wae ngasi
negatif;ungkap kecewa program msib kampus merdeka kampusmerdekari mana mahasiswa non mobilisasi biaya bantu hidup bbh program program magang selesaimana janji manis panitia kampusmerdekari
negatif;verifikasi rekening kampus merdeka banget iya tanggal april notifikasi kayak gimanaa
negatif;omong kosong slogan kampus merdeka belenggu kuasa
negatif;slogan kampus merdeka jajah kuasa
negatif;tetep beli gaji turun kampus merdeka gembel merdeka mahasiswa
negatif;gila sih bantu biaya hidup bulan cair selesai magang
negatif;kampus merdeka tega banget kelar cair bbh nya pusing
negatif;bbh msib cair sih bbh termin turun mohon pasti hak serta kampus merdeka batch
negatif;sensi perintah kampus merdeka undang plp covid
negatif;slogan nadiem kampus merdeka kampus merdeka dosen merdeka akademik
negatif;mbkm ghoib banget
negatif;dijadiin data palsu intensif mbkmnya masuk kah mbkm kasih uang bulan ukt uang mana
negatif;semester mbkm
negatif;status mbkm sks nya mbkm konversi sks
negatif;balik semester giat mbkm tulis semester
negatif;bangt data palsu kaya mbkm beneran sebal
negatif;lapor kah admin kampus nder jurus kemarin langsung admin list nama daftar mbkm
negatif;mbkm tulis
negatif;kolom program studi regist akun mbkm tidak bisa klik yaa
negatif;apas anak mbkm pamer uang brimonya
negatif;jurus nyuruh mbkm konversi sulit
negatif;mbkm smt mitra nya dikit banget asli
negatif;bingung magang mbkm posisi cuma pulau jawa
negatif;banget anjirr mbkm
negatif;aduh mbkm buka usaha
negatif;bilang sih sistem mbkm siksa
negatif;aneh mitra mbkm yaudahlah dikerjain
