Sentimen,Text,full_text
negatif,yang ikut kampus merdeka kan dapet fee dari kemendikbud nah kalo banyak yang ngerasa engga ikut tapi namanya terdaftar peserta jadi fee nya kemana dong ,kampus merdeka fee kemendikbud ngerasa nama daftar serta fee nya mana
negatif,cuma mau tanya dong kalo ikut kampus merdeka gitu maksimal cuman boleh 2 kali ya ini sender iseng cek di pddikti trs keterangannya disitu sender udah ikut 3 kali program kampus merdeka padahal aslinya sama sekali ga pernah ikut terus rencananya sender baru mau daftar ,kampus merdeka maksimal cuma kali iya sender iseng cek pddikti terang situ sender kali program kampus merdeka asli rencana sender daftar
negatif,engga dah kata prodi aku semester aku gabisa kampus merdeka lagi jadi magang nyari sendiri  kamu masih kebagian kah kampus merdeka,prodi semester tidak bisa kampus merdeka magang cari bagi kah kampus merdeka
negatif,kampus merdeka maksudnya tuh kampusnya suka2 dan bebas merdeka menentukan ukt mahasiswa dan orang tua mahasiswanya ya gak merdeka sekarang dimana fungsi negara dan aparatus negara kalo begini ,kampus merdeka maksud kampus bebas merdeka tentu ukt mahasiswa orang tua mahasiswa iya merdeka mana fungsi negara aparatus negara
negatif,buset ini kampus merdeka emg bolehin program ini dijadiin ladang duit ye,buset kampus merdeka bolehin program dijadiin ladang uang ye
negatif,rocky kampus merdeka tapi rektor dirantai ,rocky kampus merdeka rektor rantai
negatif,tadi pagi sempet cek dan 3 semester isinya kampus merdeka padahal engga sama sekali ikut program kampus merdeka apa data di palsuin kah,pagi cek semester isi kampus merdeka program kampus merdeka data palsuin kah
negatif,kampus merdeka itu selogan saja tapi realita nya kampus nya terantai,kampus merdeka log realita nya kampus nya rantai
negatif,iya aku 3 semester ditulis kampus merdeka padahal pernah ikut 1 semester doang ,iya semester tulis kampus merdeka semester
negatif,sama nderr padahal gapernah ikut kampus merdeka samsekk,nderr gapernah kampus merdeka samsekk
negatif,dih barusan ngecek aku ikut kampus merdeka di semester 4 engga dicantum di dikti ,dih barusan ngecek kampus merdeka semester cantum direktoral jendral didik tinggi
negatif,aku ikut kampus merdeka tapi malah ditulisnya aktif,kampus merdeka tulis aktif
negatif,aku malah sebaliknya ini padahal semester 6 kemaren aku ikut kampus merdeka  ,semester kemarin kampus merdeka
negatif,barusan cek punyaku malah statusnya aktif semua padahal smt 5 sempat ikut kampus merdeka,barusan cek punya status aktif smt kampus merdeka
negatif,lah aku malah kebalikannya aku ikut kampus merdeka tapi statusnya cuma aktif  ,balik kampus merdeka status aktif
negatif,aku malah kebalikannya ikut kampus merdeka smt 5 statusnya cuma aktif tapi temen aku ikut kampus merdeka smt 3 ya statusnya kampus merdeka,balik kampus merdeka smt status aktif teman kampus merdeka smt iya status kampus merdeka
negatif,malah kebalikan nder aku smt 6 ikut kampus merdeka tapi ditulis aktif gitu aja,balik nder smt kampus merdeka tulis aktif
negatif,aku malah kebalikannya pernah ikut kampus merdeka tapi di pddikti engga tercantum ,balik kampus merdeka pddikti cantum
negatif,aku ikut kampus merdeka 2 kali semester 5 sama semester 6 tapi di pddikti semester 7 sama 6,kampus merdeka kali semester semester pddikti semester
